n_train_data.name	class	sid	corpus_id	gender	acted	arousal	valence featfile
./wav/enterface/ENT_s01/s1_an_1_R.wav	5	0	2	0	1	2	0	./feat/RAW//s1_an_1_R.wav.csv
./wav/enterface/ENT_s01/s1_an_2_R.wav	5	0	2	0	1	2	0	./feat/RAW//s1_an_2_R.wav.csv
./wav/enterface/ENT_s01/s1_an_3_R.wav	5	0	2	0	1	2	0	./feat/RAW//s1_an_3_R.wav.csv
./wav/enterface/ENT_s01/s1_an_4_R.wav	5	0	2	0	1	2	0	./feat/RAW//s1_an_4_R.wav.csv
./wav/enterface/ENT_s01/s1_an_5_R.wav	5	0	2	0	1	2	0	./feat/RAW//s1_an_5_R.wav.csv
./wav/enterface/ENT_s02/s2_an_1_R.wav	5	1	2	0	1	2	0	./feat/RAW//s2_an_1_R.wav.csv
./wav/enterface/ENT_s02/s2_an_2_R.wav	5	1	2	0	1	2	0	./feat/RAW//s2_an_2_R.wav.csv
./wav/enterface/ENT_s02/s2_an_3_R.wav	5	1	2	0	1	2	0	./feat/RAW//s2_an_3_R.wav.csv
./wav/enterface/ENT_s02/s2_an_4_R.wav	5	1	2	0	1	2	0	./feat/RAW//s2_an_4_R.wav.csv
./wav/enterface/ENT_s02/s2_an_5_R.wav	5	1	2	0	1	2	0	./feat/RAW//s2_an_5_R.wav.csv
./wav/enterface/ENT_s03/s3_an_1_R.wav	5	2	2	0	1	2	0	./feat/RAW//s3_an_1_R.wav.csv
./wav/enterface/ENT_s03/s3_an_2_R.wav	5	2	2	0	1	2	0	./feat/RAW//s3_an_2_R.wav.csv
./wav/enterface/ENT_s03/s3_an_3_R.wav	5	2	2	0	1	2	0	./feat/RAW//s3_an_3_R.wav.csv
./wav/enterface/ENT_s03/s3_an_4_R.wav	5	2	2	0	1	2	0	./feat/RAW//s3_an_4_R.wav.csv
./wav/enterface/ENT_s03/s3_an_5_R.wav	5	2	2	0	1	2	0	./feat/RAW//s3_an_5_R.wav.csv
./wav/enterface/ENT_s04/s4_an_1_R.wav	5	3	2	1	1	2	0	./feat/RAW//s4_an_1_R.wav.csv
./wav/enterface/ENT_s04/s4_an_2_R.wav	5	3	2	1	1	2	0	./feat/RAW//s4_an_2_R.wav.csv
./wav/enterface/ENT_s04/s4_an_3_R.wav	5	3	2	1	1	2	0	./feat/RAW//s4_an_3_R.wav.csv
./wav/enterface/ENT_s04/s4_an_4_R.wav	5	3	2	1	1	2	0	./feat/RAW//s4_an_4_R.wav.csv
./wav/enterface/ENT_s04/s4_an_5_R.wav	5	3	2	1	1	2	0	./feat/RAW//s4_an_5_R.wav.csv
./wav/enterface/ENT_s05/s5_an_1_R.wav	5	4	2	1	1	2	0	./feat/RAW//s5_an_1_R.wav.csv
./wav/enterface/ENT_s05/s5_an_2_R.wav	5	4	2	1	1	2	0	./feat/RAW//s5_an_2_R.wav.csv
./wav/enterface/ENT_s05/s5_an_3_R.wav	5	4	2	1	1	2	0	./feat/RAW//s5_an_3_R.wav.csv
./wav/enterface/ENT_s05/s5_an_4_R.wav	5	4	2	1	1	2	0	./feat/RAW//s5_an_4_R.wav.csv
./wav/enterface/ENT_s05/s5_an_5_R.wav	5	4	2	1	1	2	0	./feat/RAW//s5_an_5_R.wav.csv
./wav/enterface/ENT_s06/s6_an_R.wav	5	5	2	0	1	2	0	./feat/RAW//s6_an_R.wav.csv
./wav/enterface/ENT_s07/s7_an_1_R.wav	5	6	2	1	1	2	0	./feat/RAW//s7_an_1_R.wav.csv
./wav/enterface/ENT_s07/s7_an_2_R.wav	5	6	2	1	1	2	0	./feat/RAW//s7_an_2_R.wav.csv
./wav/enterface/ENT_s07/s7_an_3_R.wav	5	6	2	1	1	2	0	./feat/RAW//s7_an_3_R.wav.csv
./wav/enterface/ENT_s07/s7_an_4_R.wav	5	6	2	1	1	2	0	./feat/RAW//s7_an_4_R.wav.csv
./wav/enterface/ENT_s07/s7_an_5_R.wav	5	6	2	1	1	2	0	./feat/RAW//s7_an_5_R.wav.csv
./wav/enterface/ENT_s08/s8_an_1_R.wav	5	7	2	0	1	2	0	./feat/RAW//s8_an_1_R.wav.csv
./wav/enterface/ENT_s08/s8_an_2_R.wav	5	7	2	0	1	2	0	./feat/RAW//s8_an_2_R.wav.csv
./wav/enterface/ENT_s08/s8_an_3_R.wav	5	7	2	0	1	2	0	./feat/RAW//s8_an_3_R.wav.csv
./wav/enterface/ENT_s08/s8_an_4_R.wav	5	7	2	0	1	2	0	./feat/RAW//s8_an_4_R.wav.csv
./wav/enterface/ENT_s08/s8_an_5_R.wav	5	7	2	0	1	2	0	./feat/RAW//s8_an_5_R.wav.csv
./wav/enterface/ENT_s09/s9_an_1_R.wav	5	8	2	0	1	2	0	./feat/RAW//s9_an_1_R.wav.csv
./wav/enterface/ENT_s09/s9_an_2_R.wav	5	8	2	0	1	2	0	./feat/RAW//s9_an_2_R.wav.csv
./wav/enterface/ENT_s09/s9_an_3_R.wav	5	8	2	0	1	2	0	./feat/RAW//s9_an_3_R.wav.csv
./wav/enterface/ENT_s09/s9_an_4_R.wav	5	8	2	0	1	2	0	./feat/RAW//s9_an_4_R.wav.csv
./wav/enterface/ENT_s09/s9_an_5_R.wav	5	8	2	0	1	2	0	./feat/RAW//s9_an_5_R.wav.csv
./wav/enterface/ENT_s10/s10_an_1_R.wav	5	9	2	0	1	2	0	./feat/RAW//s10_an_1_R.wav.csv
./wav/enterface/ENT_s10/s10_an_2_R.wav	5	9	2	0	1	2	0	./feat/RAW//s10_an_2_R.wav.csv
./wav/enterface/ENT_s10/s10_an_3_R.wav	5	9	2	0	1	2	0	./feat/RAW//s10_an_3_R.wav.csv
./wav/enterface/ENT_s10/s10_an_4_R.wav	5	9	2	0	1	2	0	./feat/RAW//s10_an_4_R.wav.csv
./wav/enterface/ENT_s10/s10_an_5_R.wav	5	9	2	0	1	2	0	./feat/RAW//s10_an_5_R.wav.csv
./wav/enterface/ENT_s12/s12_an_1_R.wav	5	10	2	1	1	2	0	./feat/RAW//s12_an_1_R.wav.csv
./wav/enterface/ENT_s12/s12_an_2_R.wav	5	10	2	1	1	2	0	./feat/RAW//s12_an_2_R.wav.csv
./wav/enterface/ENT_s12/s12_an_3_R.wav	5	10	2	1	1	2	0	./feat/RAW//s12_an_3_R.wav.csv
./wav/enterface/ENT_s12/s12_an_4_R.wav	5	10	2	1	1	2	0	./feat/RAW//s12_an_4_R.wav.csv
./wav/enterface/ENT_s12/s12_an_5_R.wav	5	10	2	1	1	2	0	./feat/RAW//s12_an_5_R.wav.csv
./wav/enterface/ENT_s13/s13_an_1_R.wav	5	11	2	0	1	2	0	./feat/RAW//s13_an_1_R.wav.csv
./wav/enterface/ENT_s13/s13_an_2_R.wav	5	11	2	0	1	2	0	./feat/RAW//s13_an_2_R.wav.csv
